fold,procedure,status,n_valid,n_total,auc_trap,auc_binormal,sens,spec
0,Logistic,ok,4000,4000,0.895384,0.893331,0.233333,0.995103
1,Logistic,ok,4000,4000,0.910540,0.909027,0.264463,0.995617
2,Logistic,ok,4000,4000,0.880739,0.879529,0.280992,0.994586
3,Logistic,ok,4000,4000,0.875092,0.873615,0.208333,0.992526
4,Logistic,ok,4000,4000,0.884006,0.883162,0.291667,0.994845
pooled,Logistic,ok,20000,20000,0.888384,0.887567,,
0,Neural (OBD),ok,4000,4000,0.866181,0.862758,0.275000,0.995103
1,Neural (OBD),ok,4000,4000,0.900820,0.898379,0.264463,0.995102
2,Neural (OBD),ok,4000,4000,0.881749,0.880377,0.280992,0.994328
3,Neural (OBD),ok,4000,4000,0.860228,0.858404,0.216667,0.992010
4,Neural (OBD),ok,4000,4000,0.885760,0.884647,0.341667,0.993299
pooled,Neural (OBD),ok,20000,20000,0.875719,0.874265,,
